first_date_of_quarter,client_name,country_code,industry_name_level_1,industry_name_level_2,industry_code,industry_name,NAICS 2 Digit,NAICS 3 Digit,NAICS 4 Digit,gdp_naics_2,gdp_naics_3,gdp_naics_4
2020-10-01,SOL & SELENE INC,US,Not Assigned,Not Assigned,31699,Other Leather and Allied Product Manufacturing,31,316,3169,296.2,,
2020-10-01,SOLANA FAMILY LEGACY TRUST,US,Transp & Indust,Capital Goods,52592,Trusts Estates and Agency Accounts,52,525,5259,823.5,26.5,
2020-10-01,SOLO DTC BRANDS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,33992,Sporting and Athletic Goods Manufacturing,33,339,3399,64.5,107.3,
2020-10-01,SOUTHEAST DENTAL PARTNERS LLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,795.5,795.5,
2020-10-01,SPANISH LAKE FARMS INCORPORATED,US,Not Assigned,Not Assigned,11199,All Other Crop Farming,11,111,1119,42.0,,
2020-10-01,SPEARMINT VENTURES LLC,US,Cons Retail & Health,Retailing & Services,44819,Other Clothing Stores - DO NOT USE,44,448,4481,248.8,,
2020-10-01,SPECIALTY SURGICAL CENTER OF ARCADIA LP,US,Cons Retail & Health,Health Care Equipment & Services,62149,Other Outpatient Care Centers,62,621,6214,795.5,795.5,
2020-10-01,SPECTRA MEDICAL DEVICES INC,US,Not Assigned,Not Assigned,42345,Medical Dental and Hospital Equipment and Supplies Merchant,42,423,4234,1279.9,,
2020-10-01,SPECTRA MEDICAL DEVICES LLC,US,Cons Retail & Health,Health Care Equipment & Services,42345,Medical Dental and Hospital Equipment and Supplies Merchant,42,423,4234,1279.9,,
2020-10-01,SPORTDESIGN INC,US,Not Assigned,Not Assigned,33992,Sporting and Athletic Goods Manufacturing,33,339,3399,64.5,107.3,
2020-10-01,SPRE-I LLC,US,Cons Retail & Health,Retailing & Services,53139,Other Activities Related to Real Estate,53,531,5313,514.1,514.1,
2020-10-01,SROUR PROPERTY LLC,US,Banks/BrokerDealers,Finance Companies - Direct,55111,Management of Companies and Enterprises,55,551,5511,427.0,,
2020-10-01,STANLEY BLACK & DECKER INC,US,Cons Retail & Health,Consumer Durables & Apparel,33221,Cutlery and Handtool Manufacturing,33,332,3322,64.5,146.9,
2020-10-01,STAR SNACKS CO LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31191,Snack Food Manufacturing,31,311,3119,296.2,296.2,
2020-10-01,STARKEY LABORATORIES INC,US,Not Assigned,Not Assigned,33451,Navigational Measuring Electromedical and Control Instrument,33,334,3345,64.5,328.1,
2020-10-01,STARKIST CO,US,Power Chemicals Metals & Mining,Chemicals,31171,Seafood Product Preparation and Packaging,31,311,3117,296.2,296.2,
2020-10-01,STATE NARROW FABRICS INC,US,Not Assigned,Not Assigned,31331,Textile and Fabric Finishing Mills,31,313,3133,296.2,15.9,
2020-10-01,STEP TWO HOLDINGS LLC,US,Not Assigned,Not Assigned,42394,Jewelry Watch Precious Stone and Precious Metal Merchant Who,42,423,4239,1279.9,,
2020-10-01,STEVEN MADDEN LTD,US,Cons Retail & Health,Consumer Durables & Apparel,42434,Footwear Merchant Wholesalers,42,424,4243,1279.9,,
2020-10-01,STILA STYLES LLC,US,Not Assigned,Not Assigned,32562,Toilet Preparation Manufacturing,32,325,3256,82.9,398.6,
2020-10-01,STONE CREEK DENTAL PLLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,795.5,795.5,
2020-10-01,STRUXTUR INC,US,Not Assigned,Not Assigned,42331,Lumber Plywood Millwork and Wood Panel Merchant Wholesalers,42,423,4233,1279.9,,
2020-10-01,SU INTERNATIONAL GROUP INC,US,Real Estate,Commercial Real Estate,32599,All Other Chemical Product and Preparation Manufacturing,32,325,3259,82.9,398.6,
2020-10-01,SULLENBERGER INC,US,Not Assigned,Not Assigned,55111,Management of Companies and Enterprises,55,551,5511,427.0,,
2020-10-01,SUNRISE INSTALLATION INC,US,Transp & Indust,Capital Goods,23622,Commercial and Institutional Building Construction,23,236,2362,919.3,,
2020-10-01,SUNWAY HOLDINGS LLC,US,Cons Retail & Health,Consumer Durables & Apparel,53139,Other Activities Related to Real Estate,53,531,5313,514.1,514.1,
2020-10-01,SUPERNUS PHARMACEUTICALS INC,US,Not Assigned,Not Assigned,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,82.9,398.6,
2020-10-01,SYNEOS HEALTH INC,US,Cons Retail & Health,Health Care Equipment & Services,54171,Research and Development in the Physical Engineering and Lif,54,541,5417,371.1,371.1,
2020-10-01,SYNUTRA PURE LTD,US,Not Assigned,Not Assigned,31151,Dairy Product (except Frozen) Manufacturing,31,311,3115,296.2,296.2,
2020-10-01,TAKUK LLC,US,Not Assigned,Not Assigned,31524,Women's Girls' and Infants' Cut and Sew Apparel Manufacturin,31,315,3152,296.2,10.8,
2020-10-01,TAPESTRY INC,US,Cons Retail & Health,Consumer Durables & Apparel,31699,Other Leather and Allied Product Manufacturing,31,316,3169,296.2,,
2020-10-01,TAYJON LLC,US,Not Assigned,Not Assigned,54189,Other Services Related to Advertising,54,541,5418,371.1,371.1,
2020-10-01,TAYLOR FRESH FOODS INC,US,Not Assigned,Not Assigned,42448,Fresh Fruit and Vegetable Merchant Wholesalers,42,424,4244,1279.9,,
2020-10-01,TDL CAPITAL LLC,US,Not Assigned,Not Assigned,42344,Other Commercial Equipment Merchant Wholesalers,42,423,4234,1279.9,,
2020-10-01,TEAM INTERNATIONAL GROUP OF AMERICA INC,US,Cons Retail & Health,Consumer Durables & Apparel,42362,Household Appliances Electric Housewares and Consumer Electr,42,423,4236,1279.9,,
2020-10-01,TEKWELD SOLUTIONS INC,US,Not Assigned,Not Assigned,54189,Other Services Related to Advertising,54,541,5418,371.1,371.1,
2020-10-01,TELEFLEX INC,US,Transp & Indust,Capital Goods,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,64.5,107.3,
2020-10-01,TELEFLORA LLC,US,Cons Retail & Health,Food Beverage & Tobacco,45311,Florists - DO NOT USE,45,453,4531,681.3,,
2020-10-01,TERRACYCLE INC,US,Not Assigned,Not Assigned,56299,All Other Waste Management Services,56,562,5629,684.5,62.1,
2020-10-01,THE AMBRIOLA CO INC,US,Cons Retail & Health,Retailing & Services,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers,42,424,4244,1279.9,,
2020-10-01,THE ANDERSONS INC,US,Not Assigned,Not Assigned,42451,Grain and Field Bean Merchant Wholesalers,42,424,4245,1279.9,,
2020-10-01,THE COCA-COLA CO,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,296.2,,
2020-10-01,THE COCA-COLA TRADING CO LLC,US,Cons Retail & Health,Food Beverage & Tobacco,42449,Other Grocery and Related Products Merchant Wholesalers,42,424,4244,1279.9,,
2020-10-01,THE COOPER COMPANIES INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,64.5,107.3,
2020-10-01,THE PROCTER & GAMBLE CO,US,Cons Retail & Health,Household & Personal Products,32561,Soap and Cleaning Compound Manufacturing,32,325,3256,82.9,398.6,
2020-10-01,THE PROCTER & GAMBLE US BUSINESS SERVICES CO,US,Cons Retail & Health,Household & Personal Products,54191,Marketing Research and Public Opinion Polling,54,541,5419,371.1,371.1,1000.8
2020-10-01,THE SCOULAR COMPANY,US,Not Assigned,Not Assigned,42451,Grain and Field Bean Merchant Wholesalers,42,424,4245,1279.9,,
2020-10-01,THE WONDERFUL COMPANY LLC,US,Cons Retail & Health,Food Beverage & Tobacco,11511,Support Activities for Crop Production,11,115,1151,42.0,,
2020-10-01,TIAN'S INTERNATIONAL INC,US,Not Assigned,Not Assigned,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42,424,4249,1279.9,,
2020-10-01,TIME OUT MARKET (CHICAGO) LLC,US,Cons Retail & Health,Retailing & Services,72231,Food Service Contractors,72,722,7223,522.2,410.9,
2020-10-01,TIME OUT MARKET (MIAMI) LLC,US,Cons Retail & Health,Retailing & Services,72231,Food Service Contractors,72,722,7223,522.2,410.9,
2020-10-01,TIME OUT MARKET (NEW YORK) LLC,US,Cons Retail & Health,Retailing & Services,72231,Food Service Contractors,72,722,7223,522.2,410.9,
2020-10-01,TINA FREY DESIGNS LLC,US,Not Assigned,Not Assigned,32619,Other Plastics Product Manufacturing,32,326,3261,82.9,82.9,
2020-10-01,TOWER 2012 LLC,US,Cons Retail & Health,Consumer Durables & Apparel,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,514.1,514.1,
2020-10-01,TREXLERTOWN PROPERTIES LLC,US,Transp & Indust,Capital Goods,23622,Commercial and Institutional Building Construction,23,236,2362,919.3,,
2020-10-01,TRICKLESTAR INC,US,Not Assigned,Not Assigned,33599,All Other Electrical Equipment and Component Manufacturing,33,335,3359,64.5,64.5,
2020-10-01,TSDR NORDHOFF LLC,US,Cons Retail & Health,Household & Personal Products,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,82.9,398.6,
2020-10-01,TWIN BORO MANAGEMENT LLC,US,Cons Retail & Health,Health Care Equipment & Services,62134,Offices of Physical Occupational and Speech Therapists and A,62,621,6213,795.5,795.5,
2020-10-01,TWINWOOD CAPITAL LLC,US,Transp & Indust,Autos,42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers,42,423,4231,1279.9,,
2020-10-01,TWOROGER ASSOCIATES LTD,US,Not Assigned,Not Assigned,42346,Ophthalmic Goods Merchant Wholesalers,42,423,4234,1279.9,,
2020-10-01,UNITED PACIFIC INDUSTRIES INC,US,Not Assigned,Not Assigned,44131,Automotive Parts and Accessories Stores - DO NOT USE,44,441,4413,248.8,248.8,
2020-10-01,UNITED PICKLE PRODUCTS CORP,US,Cons Retail & Health,Food Beverage & Tobacco,31142,Fruit and Vegetable Canning Pickling and Drying,31,311,3114,296.2,296.2,
2020-10-01,UNIVERSAL CORP,US,Cons Retail & Health,Food Beverage & Tobacco,42459,Other Farm Product Raw Material Merchant Wholesalers,42,424,4245,1279.9,,
2020-10-01,UNIVERSITY OF NOTRE DAME DU LAC,US,Cons Retail & Health,Retailing & Services,61131,Colleges Universities and Professional Schools,61,611,6113,242.5,,
2020-10-01,URBAN EXPRESSIONS INC,US,Not Assigned,Not Assigned,31699,Other Leather and Allied Product Manufacturing,31,316,3169,296.2,,
2020-10-01,USPETRO INC,US,Cons Retail & Health,Retailing & Services,44711,Gasoline Stations with Convenience Stores - DO NOT USE,44,447,4471,248.8,,
2020-10-01,VALEGIO LLC,US,Real Estate,Commercial Real Estate,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,514.1,514.1,
2020-10-01,VALLETTI REALTY LLC,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,248.8,,
2020-10-01,VERIFIED SYSTEM SOLUTIONS INC,US,Not Assigned,Not Assigned,42343,Computer and Computer Peripheral Equipment and Software Merc,42,423,4234,1279.9,,
2020-10-01,VICTORIAS SECRET INTERNATIONAL CORP,US,Cons Retail & Health,Retailing & Services,44815,Clothing Accessories Stores - DO NOT USE,44,448,4481,248.8,,
2020-10-01,VICTRON ENERGY INC,US,Energy & Commodities,Energy,45431,Fuel Dealers - DO NOT USE,45,454,4543,681.3,,
2020-10-01,VICTRON HOLDING LP,US,Energy & Commodities,Energy,42472,Petroleum and Petroleum Products Merchant Wholesalers (excep,42,424,4247,1279.9,,
2020-10-01,VIRTUAL RECOVERY LLC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,684.5,622.4,
2020-10-01,VITA VERDE INC,US,Not Assigned,Not Assigned,42441,General Line Grocery Merchant Wholesalers,42,424,4244,1279.9,,
2020-10-01,VOHRA WOUND PHYSICIANS MANAGEMENT LLC,US,Not Assigned,Not Assigned,62111,Offices of Physicians,62,621,6211,795.5,795.5,
2020-10-01,W M LYLES CO,US,Not Assigned,Not Assigned,23799,Other Heavy and Civil Engineering Construction,23,237,2379,919.3,,
2020-10-01,WATCHES OF SWITZERLAND LLC,US,Cons Retail & Health,Retailing & Services,44831,Jewelry Stores - DO NOT USE,44,448,4483,248.8,,
2020-10-01,WESLEY DENTAL GROUP PLLC,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,795.5,795.5,
2020-10-01,WEST VALLEY HULLING CO,US,Cons Retail & Health,Food Beverage & Tobacco,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,42.0,,
2020-10-01,WEST VERNON ENERGY CORP,US,Not Assigned,Not Assigned,45431,Fuel Dealers - DO NOT USE,45,454,4543,681.3,,
2020-10-01,WESTBURY FORTUNE DEVELOPMENT LLC,US,Cons Retail & Health,Retailing & Services,53119,Lessors of Other Real Estate Property,53,531,5311,514.1,514.1,
2020-10-01,WESTERN SADDLERY & SPORTING GOODS INC,US,Not Assigned,Not Assigned,45111,Sporting Goods Stores - DO NOT USE,45,451,4511,681.3,,
2020-10-01,WESTSIDE SUPERMARKET OF HUNTINGTON LTD,US,Cons Retail & Health,Retailing & Services,44511,Supermarkets and Other Grocery Retailers (except Convenience,44,445,4451,248.8,172.3,
2020-10-01,WILBUR-ELLIS HOLDINGS II INC,US,Power Chemicals Metals & Mining,Chemicals,42491,Farm Supplies Merchant Wholesalers,42,424,4249,1279.9,,
2020-10-01,WILSHIRE 5TH INC,US,Not Assigned,Not Assigned,44711,Gasoline Stations with Convenience Stores - DO NOT USE,44,447,4471,248.8,,
2020-10-01,WM WRIGLEY JR CO,US,Cons Retail & Health,Food Beverage & Tobacco,31134,Nonchocolate Confectionery Manufacturing,31,311,3113,296.2,296.2,
2020-10-01,WONDERFUL PISTACHIOS & ALMONDS LLC,US,Cons Retail & Health,Food Beverage & Tobacco,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,42.0,,
2020-10-01,X4 PHARMACEUTICALS INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,82.9,398.6,
2020-10-01,YARAGHI LLC,US,Not Assigned,Not Assigned,42322,Home Furnishing Merchant Wholesalers,42,423,4232,1279.9,,
2020-10-01,YETI HOLDINGS INC,US,Not Assigned,Not Assigned,33992,Sporting and Athletic Goods Manufacturing,33,339,3399,64.5,107.3,
2020-10-01,YOGESH T PATEL DDS PA,US,Cons Retail & Health,Health Care Equipment & Services,62121,Offices of Dentists,62,621,6212,795.5,795.5,
2020-10-01,YOGESH T PATEL HOLDINGS LLC,US,Cons Retail & Health,Health Care Equipment & Services,53119,Lessors of Other Real Estate Property,53,531,5311,514.1,514.1,
2020-10-01,ZENAS BIOPHARMA (USA) LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,82.9,398.6,
2020-10-01,ZICO BEVERAGES LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,296.2,,
2020-10-01,ZUCKER'S GIFTS INC,US,Cons Retail & Health,Consumer Durables & Apparel,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,681.3,,
2020-07-01,1-800-FLOWERS.COM INC,US,Not Assigned,Not Assigned,45311,Florists - DO NOT USE,45,453,4531,675.5,,
2020-07-01,10815 BUILDING LLC,US,Cons Retail & Health,Retailing & Services,53131,Real Estate Property Managers,53,531,5313,520.2,520.2,
2020-07-01,125 COMMERCE DRIVE LLC,US,Cons Retail & Health,Household & Personal Products,32561,Soap and Cleaning Compound Manufacturing,32,325,3256,81.9,397.7,
2020-07-01,145 WEST 86TH STREET LLC,US,Cons Retail & Health,Health Care Equipment & Services,53112,Lessors of Nonresidential Buildings (except Miniwarehouses),53,531,5311,520.2,520.2,
2020-07-01,1485 BANCROFT LLC,US,Not Assigned,Not Assigned,32619,Other Plastics Product Manufacturing,32,326,3261,81.9,81.9,
2020-07-01,1770 CENTEREACH REALTY LLC,US,Not Assigned,Not Assigned,53119,Lessors of Other Real Estate Property,53,531,5311,520.2,520.2,
2020-07-01,1G4B LLC,US,Cons Retail & Health,Consumer Durables & Apparel,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,675.5,,
2020-07-01,21 EAST 87TH STREET LLC,US,Cons Retail & Health,Health Care Equipment & Services,53119,Lessors of Other Real Estate Property,53,531,5311,520.2,520.2,
2020-07-01,225 CROSSWAYS REALTY LLC,US,Not Assigned,Not Assigned,56132,Temporary Help Services,56,561,5613,656.2,594.9,
2020-07-01,25 HOFFMAN LANE LTD,US,Not Assigned,Not Assigned,31194,Seasoning and Dressing Manufacturing,31,311,3119,296.6,296.6,
2020-07-01,265 INDUSTRIAL WAY WEST EC LLC,US,Cons Retail & Health,Retailing & Services,53119,Lessors of Other Real Estate Property,53,531,5311,520.2,520.2,
2020-07-01,28 SOUTH TERMINAL DRIVE LLC,US,Cons Retail & Health,Health Care Equipment & Services,62151,Medical and Diagnostic Laboratories,62,621,6215,773.5,773.5,
2020-07-01,333 CROSSWAYS REALTY LLC,US,Not Assigned,Not Assigned,44611,Pharmacies and Drug Stores - DO NOT USE,44,446,4461,246.6,,
2020-07-01,366 VETERANS MEMORIAL HIGHWAY LLC,US,Cons Retail & Health,Health Care Equipment & Services,62111,Offices of Physicians,62,621,6211,773.5,773.5,
2020-07-01,4 SEASONS GLOBAL INC,US,Not Assigned,Not Assigned,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,42,423,4239,1275.8,,
2020-07-01,401 BUTLER LLC,US,Transp & Indust,Capital Goods,23622,Commercial and Institutional Building Construction,23,236,2362,898.2,,
2020-07-01,455 CONSTANCE LLC,US,Transp & Indust,Capital Goods,53111,Lessors of Residential Buildings and Dwellings,53,531,5311,520.2,520.2,
2020-07-01,49TH BROADWAY LLC,US,Cons Retail & Health,Retailing & Services,72251,Restaurants and Other Eating Places,72,722,7225,526.5,414.9,
2020-07-01,58 MAS LLC,US,Transp & Indust,Building Products & Related,53139,Other Activities Related to Real Estate,53,531,5313,520.2,520.2,
2020-07-01,801 PARKRIDGE LLC,US,Not Assigned,Not Assigned,45411,Electronic Shopping and Mail-Order Houses - DO NOT USE,45,454,4541,675.5,,
2020-07-01,88 RANCH LLC,US,Not Assigned,Not Assigned,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,39.9,,
2020-07-01,968 ROANOKE LLC,US,Cons Retail & Health,Health Care Equipment & Services,53119,Lessors of Other Real Estate Property,53,531,5311,520.2,520.2,
2020-07-01,A TO Z LIC HOLDINGS LLC,US,Real Estate,Commercial Real Estate,55111,Management of Companies and Enterprises,55,551,5511,403.7,,
2020-07-01,A&M ROSENTHAL ENTERPRISES INC,US,Not Assigned,Not Assigned,42433,Women's Children's and Infants' Clothing and Accessories Mer,42,424,4243,1275.8,,
2020-07-01,A+ PRODUCTS INC,US,Not Assigned,Not Assigned,33211,Forging and Stamping,33,332,3321,63.1,144.5,
2020-07-01,ABACUS DERMATOLOGY MANAGEMENT LLC,US,Cons Retail & Health,Health Care Equipment & Services,62111,Offices of Physicians,62,621,6211,773.5,773.5,
2020-07-01,ABARTA COCA-COLA BEVERAGES LLC,US,Not Assigned,Not Assigned,31211,Soft Drink and Ice Manufacturing,31,312,3121,296.6,,
2020-07-01,ACUPATH LABORATORIES INCORPORATED,US,Cons Retail & Health,Health Care Equipment & Services,62151,Medical and Diagnostic Laboratories,62,621,6215,773.5,773.5,
2020-07-01,ADMERA HEALTH LLC,US,Not Assigned,Not Assigned,62151,Medical and Diagnostic Laboratories,62,621,6215,773.5,773.5,
2020-07-01,ADORAMA INC,US,Cons Retail & Health,Retailing & Services,44314,Electronics and Appliance Stores - DO NOT USE,44,443,4431,246.6,,
2020-07-01,AETNA INC,US,Insurance,Insurance,52411,Direct Life Health and Medical Insurance Carriers,52,524,5241,791.6,650.2,
2020-07-01,AETNA LIFE INSURANCE CO,US,Not Assigned,Not Assigned,52411,Direct Life Health and Medical Insurance Carriers,52,524,5241,791.6,650.2,
2020-07-01,AGILENT TECHNOLOGIES INC,US,Cons Retail & Health,Health Care Equipment & Services,42345,Medical Dental and Hospital Equipment and Supplies Merchant,42,423,4234,1275.8,,
2020-07-01,AGRI-DAIRY PRODUCTS INC,US,Not Assigned,Not Assigned,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers,42,424,4244,1275.8,,
2020-07-01,AIDEO TECHNOLOGIES LLC,US,Cons Retail & Health,Health Care Equipment & Services,54151,Computer Systems Design and Related Services,54,541,5415,988.4,988.4,364.4
2020-07-01,AIMANI INTERNATIONAL LTD,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1275.8,,
2020-07-01,AJUBA INTERNATIONAL LLC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,656.2,594.9,
2020-07-01,ALADDIN BAKERS INC,US,Cons Retail & Health,Retailing & Services,31181,Bread and Bakery Product Manufacturing,31,311,3118,296.6,296.6,
2020-07-01,ALAMEDA SURGERY CENTER LP,US,Cons Retail & Health,Health Care Equipment & Services,62149,Other Outpatient Care Centers,62,621,6214,773.5,773.5,
2020-07-01,ALIGN TECHNOLOGY INC,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,ALIGNMENT HEALTHCARE USA LLC,US,Banks/BrokerDealers,Finance Companies - Direct,54161,Management Consulting Services,54,541,5416,988.4,988.4,
2020-07-01,ALLAQUARIA LLC,US,Not Assigned,Not Assigned,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42,424,4249,1275.8,,
2020-07-01,ALLERGAN INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,ALLIED PHYSICIANS GROUP PLLC,US,Not Assigned,Not Assigned,62111,Offices of Physicians,62,621,6211,773.5,773.5,
2020-07-01,ALPA LAUNDRY SERVICES LLC,US,Not Assigned,Not Assigned,81149,Other Personal and Household Goods Repair and Maintenance,81,811,8114,423.3,,
2020-07-01,ALPHAMED BOTTLES INC,US,Cons Retail & Health,Household & Personal Products,32616,Plastics Bottle Manufacturing,32,326,3261,81.9,81.9,
2020-07-01,ALPHAMED REALTY LLC,US,Cons Retail & Health,Household & Personal Products,32616,Plastics Bottle Manufacturing,32,326,3261,81.9,81.9,
2020-07-01,ALWAYS ADVANCING MANUFACTURING & PROMOTIONS LLC,US,Tech Media Telecom,Technology,54189,Other Services Related to Advertising,54,541,5418,988.4,988.4,
2020-07-01,AMA2 LLC,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1275.8,,
2020-07-01,AMERICAN DIAGNOSTIC CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,AMERICAN FASHION ACCESSORIES INC,US,Not Assigned,Not Assigned,45399,All Other Miscellaneous Store Retailers - DO NOT USE,45,453,4539,675.5,,
2020-07-01,AMERICAN PAVING CO,US,Not Assigned,Not Assigned,23731,Highway Street and Bridge Construction,23,237,2373,898.2,,
2020-07-01,AMERICAN REGENT INC,US,Not Assigned,Not Assigned,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,AMERICAN TRADING INTERNATIONAL INC,US,Not Assigned,Not Assigned,42399,Other Miscellaneous Durable Goods Merchant Wholesalers,42,423,4239,1275.8,,
2020-07-01,AMGEN INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,AMICK FARMS LLC,US,Cons Retail & Health,Retailing & Services,11232,Broilers and Other Meat Type Chicken Production,11,112,1123,39.9,,
2020-07-01,AMNEAL PHARMACEUTICALS LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,ANESTHESIA BUSINESS CONSULTANTS INC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,656.2,594.9,
2020-07-01,ANESTHESIA BUSINESS CONSULTANTS LLC,US,Transp & Indust,Professional Services,56111,Office Administrative Services,56,561,5611,656.2,594.9,
2020-07-01,ANKER RANCH LLC,US,Not Assigned,Not Assigned,11132,Citrus (except Orange) Groves,11,111,1113,39.9,,
2020-07-01,APPLIED MEDICAL DISTRIBUTION CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,APPLIED MEDICAL RESOURCES CORP,US,Not Assigned,Not Assigned,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,AR FORTUNE INC,US,Cons Retail & Health,Retailing & Services,54161,Management Consulting Services,54,541,5416,988.4,988.4,
2020-07-01,ARGEE AMERICA INC,US,Cons Retail & Health,Consumer Durables & Apparel,42433,Women's Children's and Infants' Clothing and Accessories Mer,42,424,4243,1275.8,,
2020-07-01,ARIZONA INTERNATIONAL LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31211,Soft Drink and Ice Manufacturing,31,312,3121,296.6,,
2020-07-01,ASANA BIOSCIENCES LLC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,ATAI LIFE SCIENCES US INC,US,Cons Retail & Health,Health Care Equipment & Services,54171,Research and Development in the Physical Engineering and Lif,54,541,5417,988.4,988.4,
2020-07-01,ATALANTA CORP,US,Cons Retail & Health,Retailing & Services,42441,General Line Grocery Merchant Wholesalers,42,424,4244,1275.8,,
2020-07-01,AUDCONNEX LLC,US,Not Assigned,Not Assigned,81121,Electronic and Precision Equipment Repair and Maintenance,81,811,8112,423.3,,
2020-07-01,AVANOS MEDICAL INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,AVON PRODUCTS INC,US,Cons Retail & Health,Household & Personal Products,32562,Toilet Preparation Manufacturing,32,325,3256,81.9,397.7,
2020-07-01,B&D SEAFOODS INC,US,Not Assigned,Not Assigned,42446,Fish and Seafood Merchant Wholesalers,42,424,4244,1275.8,,
2020-07-01,B&R SALVAGE OF NEW YORK INC,US,Not Assigned,Not Assigned,45331,Used Merchandise Stores - DO NOT USE,45,453,4533,675.5,,
2020-07-01,BACTOLAC PHARMACEUTICAL INC,US,Cons Retail & Health,Health Care Equipment & Services,32541,Pharmaceutical and Medicine Manufacturing,32,325,3254,81.9,397.7,
2020-07-01,BAKCO BAKERY LLC,US,Cons Retail & Health,Food Beverage & Tobacco,31181,Bread and Bakery Product Manufacturing,31,311,3118,296.6,296.6,
2020-07-01,BAKER FARMING CO LLC,US,Cons Retail & Health,Food Beverage & Tobacco,11133,Noncitrus Fruit and Tree Nut Farming,11,111,1113,39.9,,
2020-07-01,BANCROFT GLOBAL DEVELOPMENT,US,Cons Retail & Health,Retailing & Services,81341,Civic and Social Organizations,81,813,8134,423.3,,
2020-07-01,BARILLA AMERICA INC,US,Cons Retail & Health,Retailing & Services,31182,Cookie Cracker and Pasta Manufacturing,31,311,3118,296.6,296.6,
2020-07-01,BARNELL REALTY,US,Transp & Indust,Capital Goods,44221,Floor Covering Stores - DO NOT USE,44,442,4422,246.6,,
2020-07-01,BAUSCH & LOMB INC,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
2020-07-01,BAUSCH + LOMB CORP,US,Cons Retail & Health,Health Care Equipment & Services,33911,Medical Equipment and Supplies Manufacturing,33,339,3391,63.1,105.7,
