naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,333,Machinery Manufacturing,3333,Commercial and Service Industry Machinery Manufacturing,33331,Commercial and Service Industry Machinery Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3364,Aerospace Product and Parts Manufacturing,33641,Aerospace Product and Parts Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4235,Metal and Mineral (except Petroleum) Merchant Wholesalers,42352,Coal and Other Mineral and Ore Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4481,Clothing Stores,44811,Mens Clothing Stores
48,Transportation and Warehousing,484,Truck Transportation,4842,Specialized Freight Trucking,48422,"Specialized Freight (except Used Goods) Trucking, Local"
51,Information,517,Telecommunications,5172,Wireless Telecommunications Carriers (except Satellite),51721,Wireless Telecommunications Carriers (except Satellite)
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52411,"Direct Life, Health, and Medical Insurance Carriers"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54189,Other Services Related to Advertising
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5629,Remediation and Other Waste Management Services,56299,All Other Waste Management Services
62,Health Care and Social Assistance,624,Social Assistance,6241,Individual and Family Services,62419,Other Individual and Family Services
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71399,All Other Amusement and Recreation Industries
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8131,Religious Organizations,81311,Religious Organizations
92,Public Administration,928,National Security and International Affairs,9281,National Security and International Affairs,92812,International Affairs
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1152,Support Activities for Animal Production,11521,Support Activities for Animal Production
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23812,Structural Steel and Precast Concrete Contractors
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3122,Tobacco Manufacturing,31222,Tobacco Product Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31529,Other Cut and Sew Apparel Manufacturing
32,Manufacturing,321,Wood Product Manufacturing,3219,Other Wood Product Manufacturing,32199,All Other Wood Product Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",32561,Soap and Cleaning Compound Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3328,"Coating, Engraving, Heat Treating, and Allied Activities",33281,"Coating, Engraving, Heat Treating, and Allied Activities"
33,Manufacturing,333,Machinery Manufacturing,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing"
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,33711,Wood Kitchen Cabinet and Countertop Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42344,Other Commercial Equipment Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",42431,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
45,Retail Trade,453,Miscellaneous Store Retailers,4531,Florists,45311,Florists
49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,49311,General Warehousing and Storage
51,Information,517,Telecommunications,5179,Other Telecommunications,51791,Other Telecommunications
53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53139,Other Activities Related to Real Estate
55,Management of Companies and Enterprises,551,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,55111,Management of Companies and Enterprises
61,Educational Services,611,Educational Services,6115,Technical and Trade Schools,61151,Technical and Trade Schools
72,Accommodation and Food Services,722,Food Services and Drinking Places,7225,Restaurants and Other Eating Places,72251,Restaurants and Other Eating Places
11,"Agriculture, Forestry, Fishing and Hunting",115,Support Activities for Agriculture and Forestry,1151,Support Activities for Crop Production,11511,Support Activities for Crop Production
23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23821,Electrical Contractors and Other Wiring Installation Contractors
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31182,"Cookie, Cracker, and Pasta Manufacturing"
31,Manufacturing,316,Leather and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,31699,Other Leather and Allied Product Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32223,Stationery Product Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3273,Cement and Concrete Product Manufacturing,32731,Cement Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping
33,Manufacturing,333,Machinery Manufacturing,3339,Other General Purpose Machinery Manufacturing,33391,Pump and Compressor Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3359,Other Electrical Equipment and Component Manufacturing,33592,Communication and Energy Wire and Cable Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33999,All Other Miscellaneous Manufacturing
44,Retail Trade,445,Food and Beverage Stores,4452,Specialty Food Stores,44523,Fruit and Vegetable Markets
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4851,Urban Transit Systems,48511,Urban Transit Systems
51,Information,518,"Data Processing, Hosting, and Related Services",5182,"Data Processing, Hosting, and Related Services",51821,"Data Processing, Hosting, and Related Services"
53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53131,Real Estate Property Managers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54191,Marketing Research and Public Opinion Polling
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5622,Waste Treatment and Disposal,56221,Waste Treatment and Disposal
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7113,"Promoters of Performing Arts, Sports, and Similar Events",71131,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
81,Other Services (except Public Administration),811,Repair and Maintenance,8114,Personal and Household Goods Repair and Maintenance,81141,Home and Garden Equipment and Appliance Repair and Maintenance
92,Public Administration,926,Administration of Economic Programs,9261,Administration of Economic Programs,92614,Regulation of Agricultural Marketing and Commodities
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21229,Other Metal Ore Mining
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31181,Bread and Bakery Product Manufacturing
31,Manufacturing,316,Leather and Allied Product Manufacturing,3169,Other Leather and Allied Product Manufacturing,31699,Other Leather and Allied Product Manufacturing
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32222,Paper Bag and Coated and Treated Paper Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3259,Other Chemical Product and Preparation Manufacturing,32599,All Other Chemical Product and Preparation Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33151,Ferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33324,Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,337,Furniture and Related Product Manufacturing,3372,Office Furniture (including Fixtures) Manufacturing,33721,Office Furniture (including Fixtures) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4247,Petroleum and Petroleum Products Merchant Wholesalers,42472,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4512,Book Stores and News Dealers,45122,Prerecorded Tape Compact Disc and Record Stores
48,Transportation and Warehousing,481,Air Transportation,4812,Nonscheduled Air Transportation,48121,Nonscheduled Air Transportation
52,Finance and Insurance,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",5239,Other Financial Investment Activities,52399,All Other Financial Investment Activities
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5411,Legal Services,54119,Other Legal Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6212,Offices of Dentists,62121,Offices of Dentists
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81111,Automotive Mechanical and Electrical Repair and Maintenance
92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92212,Police Protection
81,Other Services (except Public Administration),811,Repair and Maintenance,8114,Personal and Household Goods Repair and Maintenance,81149,Other Personal and Household Goods Repair and Maintenance
92,Public Administration,928,National Security and International Affairs,9281,National Security and International Affairs,92811,National Security
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation
23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23829,Other Building Equipment Contractors
31,Manufacturing,311,Food Manufacturing,3118,Bakeries and Tortilla Manufacturing,31181,Bread and Bakery Product Manufacturing
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31499,All Other Textile Product Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32712,Clay Building Material and Refractories Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3314,Nonferrous Metal (except Aluminum) Production and Processing,33141,Nonferrous Metal (except Aluminum) Smelting and Refining
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",33313,Mining and Oil and Gas Field Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3353,Electrical Equipment Manufacturing,33531,Electrical Equipment Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3366,Ship and Boat Building,33661,Ship and Boat Building
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4237,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",42374,Refrigeration Equipment and Supplies Merchant Wholesalers
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44311,Appliance Television and Other Electronics Stores
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4512,Book Stores and News Dealers,45121,Book Stores and News Dealers
48,Transportation and Warehousing,488,Support Activities for Transportation,4883,Support Activities for Water Transportation,48833,Navigational Services to Shipping
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52412,"Direct Insurance (except Life, Health, and Medical) Carriers"
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5616,Investigation and Security Services,56161,"Investigation, Guard, and Armored Car Services"
62,Health Care and Social Assistance,624,Social Assistance,6242,"Community Food and Housing, and Emergency and Other Relief Services",62423,Emergency and Other Relief Services
81,Other Services (except Public Administration),814,Private Households,8141,Private Households,81411,Private Households
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,11211,"Beef Cattle Ranching and Farming, including Feedlots"
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21229,Other Metal Ore Mining
23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23833,Flooring Contractors
31,Manufacturing,313,Textile Mills,3131,"Fiber, Yarn, and Thread Mills",31311,"Fiber, Yarn, and Thread Mills"
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32221,Paperboard Container Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3326,Spring and Wire Product Manufacturing,33261,Spring and Wire Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33522,Major Household Appliance Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,42312,Motor Vehicle Supplies and New Parts Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4245,Farm Product Raw Material Merchant Wholesalers,42452,Livestock Merchant Wholesalers
44,Retail Trade,448,Clothing and Clothing Accessories Stores,4483,"Jewelry, Luggage, and Leather Goods Stores",44831,Jewelry Stores
48,Transportation and Warehousing,486,Pipeline Transportation,4869,Other Pipeline Transportation,48691,Pipeline Transportation of Refined Petroleum Products
51,Information,519,Other Information Services,5191,Other Information Services,51911,News Syndicates
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52411,"Direct Life, Health, and Medical Insurance Carriers"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54185,Outdoor Advertising
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6219,Other Ambulatory Health Care Services,62191,Ambulance Services
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81111,Automotive Mechanical and Electrical Repair and Maintenance
81,Other Services (except Public Administration),812,Personal and Laundry Services,8129,Other Personal Services,81292,Photofinishing
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1124,Sheep and Goat Farming,11241,Sheep Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31211,Soft Drink and Ice Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31523,Womens and Girls Cut and Sew Apparel Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3311,Iron and Steel Mills and Ferroalloy Manufacturing,33111,Iron and Steel Mills and Ferroalloy Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33324,Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3361,Motor Vehicle Manufacturing,33612,Heavy Duty Truck Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33994,Office Supplies (except Paper) Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4241,Paper and Paper Product Merchant Wholesalers,42413,Industrial and Personal Service Paper Merchant Wholesalers
44,Retail Trade,443,Electronics and Appliance Stores,4431,Electronics and Appliance Stores,44313,Camera and Photographic Supplies Stores
45,Retail Trade,453,Miscellaneous Store Retailers,4532,"Office Supplies, Stationery, and Gift Stores",45321,Office Supplies and Stationery Stores
48,Transportation and Warehousing,483,Water Transportation,4832,Inland Water Transportation,48321,Inland Water Transportation
51,Information,515,Broadcasting (except Internet),5151,Radio and Television Broadcasting,51512,Television Broadcasting
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5324,Commercial and Industrial Machinery and Equipment Rental and Leasing,53241,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62149,Other Outpatient Care Centers
81,Other Services (except Public Administration),812,Personal and Laundry Services,8122,Death Care Services,81222,Cemeteries and Crematories
92,Public Administration,923,Administration of Human Resource Programs,9231,Administration of Human Resource Programs,92311,Administration of Education Programs
11,"Agriculture, Forestry, Fishing and Hunting",113,Forestry and Logging,1133,Logging,11331,Logging
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying
31,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31324,Knit Fabric Mills
32,Manufacturing,322,Paper Manufacturing,3221,"Pulp, Paper, and Paperboard Mills",32213,Paperboard Mills
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,32621,Tire Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3321,Forging and Stamping,33211,Forging and Stamping
33,Manufacturing,333,Machinery Manufacturing,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
33,Manufacturing,336,Transportation Equipment Manufacturing,3361,Motor Vehicle Manufacturing,33611,Automobile and Light Duty Motor Vehicle Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,42346,Ophthalmic Goods Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4412,Other Motor Vehicle Dealers,44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers"
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4852,Interurban and Rural Bus Transportation,48521,Interurban and Rural Bus Transportation
51,Information,512,Motion Picture and Sound Recording Industries,5121,Motion Picture and Video Industries,51212,Motion Picture and Video Distribution
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5251,Insurance and Employee Benefit Funds,52511,Pension Funds
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5415,Computer Systems Design and Related Services,54151,Computer Systems Design and Related Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56149,Other Business Support Services
61,Educational Services,611,Educational Services,6112,Junior Colleges,61121,Junior Colleges
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6214,Outpatient Care Centers,62149,Other Outpatient Care Centers
71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71213,Zoos and Botanical Gardens
81,Other Services (except Public Administration),813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",8134,Civic and Social Organizations,81341,Civic and Social Organizations
42,Wholesale Trade,425,Wholesale Electronic Markets and Agents and Brokers,4251,Wholesale Electronic Markets and Agents and Brokers,42511,Business to Business Electronic Markets
48,Transportation and Warehousing,484,Truck Transportation,4842,Specialized Freight Trucking,48423,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
51,Information,511,Publishing Industries (except Internet),5111,"Newspaper, Periodical, Book, and Directory Publishers",51119,Other Publishers
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52412,"Direct Insurance (except Life, Health, and Medical) Carriers"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5414,Specialized Design Services,54149,Other Specialized Design Services
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5614,Business Support Services,56143,Business Service Centers
61,Educational Services,611,Educational Services,6111,Elementary and Secondary Schools,61111,Elementary and Secondary Schools
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6213,Offices of Other Health Practitioners,62139,Offices of All Other Health Practitioners
71,"Arts, Entertainment, and Recreation",712,"Museums, Historical Sites, and Similar Institutions",7121,"Museums, Historical Sites, and Similar Institutions",71212,Historical Sites
81,Other Services (except Public Administration),811,Repair and Maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,81121,Electronic and Precision Equipment Repair and Maintenance
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11142,Nursery and Floriculture Production
23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23814,Masonry Contractors
31,Manufacturing,311,Food Manufacturing,3115,Dairy Product Manufacturing,31151,Dairy Product (except Frozen) Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3159,Apparel Accessories and Other Apparel Manufacturing,31599,Apparel Accessories and Other Apparel Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3311,Iron and Steel Mills and Ferroalloy Manufacturing,33111,Iron and Steel Mills and Ferroalloy Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33322,Plastics and Rubber Industry Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3353,Electrical Equipment Manufacturing,33531,Electrical Equipment Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4232,Furniture and Home Furnishing Merchant Wholesalers,42322,Home Furnishing Merchant Wholesalers
44,Retail Trade,441,Motor Vehicle and Parts Dealers,4412,Other Motor Vehicle Dealers,44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers"
48,Transportation and Warehousing,483,Water Transportation,4832,Inland Water Transportation,48321,Inland Water Transportation
51,Information,512,Motion Picture and Sound Recording Industries,5122,Sound Recording Industries,51229,Other Sound Recording Industries
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5223,Activities Related to Credit Intermediation,52232,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
53,Real Estate and Rental and Leasing,532,Rental and Leasing Services,5322,Consumer Goods Rental,53228,Other Consumer Goods Rental
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5417,Scientific Research and Development Services,54171,"Research and Development in the Physical, Engineering, and Life Sciences"
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5621,Waste Collection,56211,Waste Collection
62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,62331,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7139,Other Amusement and Recreation Industries,71391,Golf Courses and Country Clubs
81,Other Services (except Public Administration),811,Repair and Maintenance,8112,Electronic and Precision Equipment Repair and Maintenance,81121,Electronic and Precision Equipment Repair and Maintenance
92,Public Administration,924,Administration of Environmental Quality Programs,9241,Administration of Environmental Quality Programs,92412,Administration of Conservation Programs
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1129,Other Animal Production,11293,Fur-Bearing Animal and Rabbit Production
23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3122,Tobacco Manufacturing,31221,Tobacco Stemming and Redrying
31,Manufacturing,314,Textile Product Mills,3149,Other Textile Product Mills,31491,Textile Bag and Canvas Mills
32,Manufacturing,321,Wood Product Manufacturing,3211,Sawmills and Wood Preservation,32111,Sawmills and Wood Preservation
32,Manufacturing,325,Chemical Manufacturing,3255,"Paint, Coating, and Adhesive Manufacturing",32551,Paint and Coating Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3313,Alumina and Aluminum Production and Processing,33131,Alumina and Aluminum Production and Processing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3322,Cutlery and Handtool Manufacturing,33221,Cutlery and Handtool Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3362,Motor Vehicle Body and Trailer Manufacturing,33621,Motor Vehicle Body and Trailer Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,42313,Tire and Tube Merchant Wholesalers
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4239,Miscellaneous Durable Goods Merchant Wholesalers,42392,Toy and Hobby Goods and Supplies Merchant Wholesalers
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",45111,Sporting Goods Stores
48,Transportation and Warehousing,487,Scenic and Sightseeing Transportation,4872,"Scenic and Sightseeing Transportation, Water",48721,"Scenic and Sightseeing Transportation, Water"
51,Information,515,Broadcasting (except Internet),5152,Cable and Other Subscription Programming,51521,Cable and Other Subscription Programming
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5259,Other Investment Pools and Funds,52591,Open-End Investment Funds
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",54183,Media Buying Agencies
61,Educational Services,611,Educational Services,6115,Technical and Trade Schools,61151,Technical and Trade Schools
72,Accommodation and Food Services,721,Accommodation,7211,Traveler Accommodation,72119,Other Traveler Accommodation
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11141,Food Crops Grown Under Cover
22,Utilities,221,Utilities,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution"
